goodreads_book_id,tag_id,count
231,30574,5250
231,11743,536
231,8717,347
231,11557,130
231,22743,58
231,5207,54
231,8067,51
231,22034,49
231,8055,43
231,7668,39
231,7852,33
231,18367,32
231,4949,30
231,18326,28
231,2277,21
231,1416,21
231,22753,19
231,9221,18
231,21989,18
231,12948,17
231,33114,16
231,3392,16
231,18045,16
231,1659,16
231,5051,15
231,3371,14
231,615,14
231,2313,14
231,9477,14
231,7673,14
231,30937,14
231,31656,12
231,3389,11
231,20849,11
231,27535,11
231,18318,11
231,20288,11
231,941,11
231,9484,11
231,617,11
231,1642,10
231,30672,10
231,8346,10
231,9886,9
231,2335,9
231,12869,9
231,25438,8
231,10644,7
231,5090,7
231,30521,7
231,1510,7
231,26636,7
231,24960,6
231,15169,6
231,11505,6
231,22689,6
231,3358,6
231,26735,6
231,3377,6
231,11978,6
231,32686,6
231,4514,6
231,23993,6
231,32989,5
231,20774,5
231,17213,5
231,5444,5
231,2271,5
231,32586,5
231,31505,5
231,4985,5
231,9638,5
231,25630,5
231,22816,5
231,15392,5
231,30768,5
231,28204,5
231,11798,5
231,27368,5
231,8069,5
231,26138,4
231,2294,4
231,2312,4
231,18990,4
231,3379,4
231,25148,4
231,25506,4
231,25822,4
231,25106,4
231,23040,4
231,31557,4
231,30766,4
231,10304,4
231,21374,4
231,8344,4
231,11776,4
231,31535,4
231,28014,4
231,20302,4
231,2162,4
264,7457,2632
264,11743,1053
264,11557,420
264,7404,391
264,22743,256
264,5207,243
264,18367,226
264,509,175
264,240,137
264,2277,132
264,22034,131
264,2313,118
264,14487,116
264,7423,98
264,236,97
264,26138,93
264,7478,88
264,9221,83
264,2312,82
264,22753,80
264,17213,69
264,30521,66
264,21989,59
264,4949,59
264,7417,59
264,14266,59
264,31859,58
264,30635,57
264,251,55
264,18045,51
264,18326,50
264,10644,45
264,30574,44
264,14467,44
264,20849,43
264,3392,39
264,1416,39
264,10210,38
264,5751,37
264,10197,37
264,11590,35
264,32586,34
264,20811,34
264,1659,33
264,20774,31
264,10641,31
264,7422,31
264,22689,29
264,248,28
264,1642,27
264,10658,27
264,371,27
264,21815,26
264,3371,25
264,14764,25
264,31656,25
264,261,25
264,31505,25
264,3389,24
264,30672,24
264,254,24
264,15924,24
264,26735,22
264,18292,22
264,9484,22
264,5776,22
264,7668,21
264,2287,21
264,15169,20
264,18318,20
264,10093,20
264,9477,20
264,22733,20
264,23229,20
264,2271,19
264,272,19
264,30768,19
264,10932,18
264,22816,18
264,29716,18
264,2104,17
264,14064,17
264,12948,17
264,31557,17
264,16056,17
264,25433,17
264,23233,17
264,20731,16
264,522,16
264,7427,16
264,29325,16
264,30573,15
264,5444,15
264,30766,15
264,7451,15
264,32315,15
264,21597,15
264,22352,14
264,518,14
264,521,13
348,30574,937
348,26837,764
348,26771,475
348,11743,204
348,30464,163
348,26894,133
348,11557,111
348,27398,107
348,22743,81
348,26785,54
348,14209,52
348,9221,46
348,8717,40
348,11305,39
348,17213,35
348,7457,29
348,26842,29
348,26816,27
348,27405,27
348,26004,27
348,26897,26
348,26020,22
348,5207,21
348,3389,19
348,18045,19
348,27403,19
348,1691,18
348,10197,18
348,7404,18
348,28300,18
348,3392,16
348,22753,15
348,21989,15
348,3371,14
348,7308,14
348,10210,13
348,15169,12
348,10094,12
348,31155,12
348,11370,11
348,10644,11
348,30444,11
348,30521,9
348,22944,9
348,26774,9
348,26838,9
348,27401,9
348,22034,8
348,20849,8
348,27535,8
348,2277,8
348,10093,8
348,4949,8
348,7433,8
348,27412,8
348,21953,8
348,6443,8
348,14210,8
348,11590,7
348,24960,7
348,12940,7
348,31557,7
348,28235,7
348,26063,7
348,11287,7
348,33114,6
348,14064,6
348,31656,6
348,3379,6
348,25148,6
348,11978,6
348,6122,6
348,7436,6
348,30978,6
348,22439,6
348,32989,5
348,2104,5
348,5090,5
348,16799,5
348,25506,5
348,25822,5
348,26884,5
348,7434,5
348,30766,5
348,25152,4
348,26138,4
348,27556,4
348,18054,4
348,25149,4
348,442,4
348,19524,4
348,22333,4
348,7654,4
348,30804,4
348,30800,4
348,23552,4
348,25190,4
348,26798,4
348,26846,4
348,31850,4
706,30574,36492
706,15048,1583
706,21689,874
706,23931,559
706,21773,401
706,7725,376
706,14552,336
706,8717,308
706,22743,200
706,11557,191
706,26636,158
706,15067,148
706,12680,145
706,11743,141
706,5207,134
706,23909,123
706,3389,73
706,3392,65
706,9221,59
706,2305,45
706,3371,43
706,18045,39
706,22753,35
706,1642,35
706,2271,31
706,25562,31
706,2277,29
706,23970,29
706,12663,26
706,20849,25
706,21685,24
706,10891,22
706,15060,21
706,20774,20
706,14467,20
706,3379,19
706,28014,19
706,22689,17
706,611,17
706,23923,17
706,8683,16
706,30521,15
706,22545,15
706,3377,15
706,20159,15
706,13458,15
706,23034,15
706,615,14
706,16773,14
706,31656,14
706,8706,14
706,23922,14
706,16590,14
706,14764,13
706,3358,13
706,30756,13
706,14408,13
706,15057,13
706,7612,13
706,15169,12
706,14487,12
706,5481,11
706,12692,11
706,2104,10
706,5090,10
706,14064,10
706,941,10
706,30755,10
706,31528,10
706,13962,10
706,23939,10
706,2335,9
706,1078,9
706,28052,9
706,31557,9
706,30766,9
706,10693,9
706,27535,8
706,603,8
706,1416,8
706,23349,8
706,14752,8
706,10304,8
706,1669,8
706,23549,8
706,31340,8
706,18520,8
706,15050,8
706,5444,7
706,18367,7
706,15285,7
706,4605,7
706,21739,7
706,23040,7
706,21803,7
706,28046,7
706,28031,7
706,16651,7
706,7614,7
706,7721,7
1110,30574,3160
1110,16518,683
1110,30358,375
1110,20939,300
1110,8717,249
1110,13720,226
1110,9221,223
1110,22743,197
1110,11743,191
1110,5207,159
1110,17863,145
1110,29076,120
1110,8517,103
1110,17857,89
1110,11557,78
1110,13723,75
1110,20994,66
1110,30386,63
1110,22753,56
1110,22034,51
1110,3389,48
1110,18045,48
1110,15924,47
1110,20849,46
1110,615,45
1110,10866,44
1110,17721,43
1110,17864,42
1110,20989,41
1110,1659,33
1110,21989,32
1110,15169,31
1110,3371,31
1110,20926,31
1110,10210,29
1110,3379,29
1110,10197,28
1110,17860,28
1110,12948,27
1110,1642,26
1110,3392,25
1110,20774,24
1110,9886,23
1110,20656,23
1110,10644,22
1110,14064,22
1110,617,22
1110,17213,21
1110,8055,21
1110,8527,20
1110,14821,20
1110,14764,19
1110,8067,18
1110,5180,18
1110,23002,18
1110,11005,18
1110,5090,17
1110,28751,17
1110,22944,17
1110,8545,17
1110,3338,17
1110,29083,16
1110,2338,16
1110,15736,16
1110,22689,15
1110,10094,15
1110,20957,15
1110,31557,15
1110,1691,14
1110,18284,14
1110,1540,14
1110,11978,14
1110,2277,13
1110,11503,13
1110,6122,13
1110,23349,13
1110,14752,13
1110,10093,12
1110,30381,12
1110,27535,11
1110,8533,11
1110,3377,11
1110,3358,10
1110,21003,10
1110,23931,10
1110,5481,10
1110,28466,10
1110,30373,10
1110,23993,10
1110,25150,9
1110,32586,9
1110,21001,9
1110,30766,9
1110,21953,9
1110,23928,9
1110,30521,8
1110,22545,8
1110,24999,8
1110,12724,8
1110,30369,8
1241,30574,12142
1241,21689,717
1241,8717,570
1241,4605,282
1241,4949,256
1241,11743,222
1241,19733,186
1241,11557,185
1241,5207,136
1241,22743,132
1241,8055,123
1241,22753,120
1241,24526,116
1241,22456,99
1241,11590,87
1241,1599,87
1241,3611,76
1241,5051,76
1241,22449,76
1241,9959,73
1241,20774,68
1241,1416,67
1241,4594,67
1241,30521,65
1241,15169,62
1241,20849,60
1241,1659,59
1241,21773,57
1241,22465,57
1241,22034,55
1241,9221,54
1241,19742,53
1241,617,52
1241,19786,52
1241,22451,48
1241,9477,45
1241,22689,41
1241,12948,40
1241,31505,39
1241,9484,38
1241,9886,37
1241,25523,37
1241,19788,36
1241,8067,35
1241,16077,35
1241,21374,34
1241,4959,33
1241,12869,33
1241,615,32
1241,27535,31
1241,18045,29
1241,18367,29
1241,5090,27
1241,20824,26
1241,17213,26
1241,21989,25
1241,4968,25
1241,4600,24
1241,22733,24
1241,19749,24
1241,8346,23
1241,11505,22
1241,5444,22
1241,5481,22
1241,1960,22
1241,3389,20
1241,22352,20
1241,1642,20
1241,32586,20
1241,9638,20
1241,5332,20
1241,8344,20
1241,2104,19
1241,11497,19
1241,20781,19
1241,14764,19
1241,4568,19
1241,25438,18
1241,22344,18
1241,3616,18
1241,19738,18
1241,4587,18
1241,19735,18
1241,9954,18
1241,25609,17
1241,10644,16
1241,11491,16
1241,2277,16
1241,4985,16
1241,20125,16
1241,2158,16
1241,19728,16
1241,24493,16
1241,10197,15
1241,20288,15
1241,25148,15
1241,19524,15
1241,4615,15
1241,19737,15
1241,30766,15
1990,7457,572
1990,11743,245
1990,30574,182
1990,9468,122
1990,7404,98
