user_id,book_id
29,2304
105,233
29,4359
137,1272
162,2938
162,5220
162,4337
301,383
187,2757
396,2757
396,8435
428,4134
488,1645
511,3966
511,1547
179,1567
143,2603
564,233
513,2192
513,8802
513,233
610,233
634,1645
639,150
654,1441
448,1272
639,5796
744,3966
793,1272
839,3600
871,1645
900,3853
989,3787
1002,3966
585,326
1074,150
1074,1204
1012,8802
1122,4614
7,233
1135,1806
1135,3406
756,2757
638,3406
1211,2938
1254,233
875,2136
1326,233
1347,1317
875,9188
603,2304
399,4614
1434,233
1474,7959
1038,4614
215,4755
1619,233
1626,233
959,7592
1403,1441
1689,233
1722,6895
1722,3028
1727,233
594,150
1551,1748
547,1806
448,4081
1778,5097
1744,3788
875,2938
1820,1567
1508,1783
1889,233
1889,4081
283,304
283,2028
868,4898
868,9888
1889,1752
1889,2188
1577,9188
1937,233
1582,3634
1549,4081
1915,6480
1926,233
1915,4793
1915,1272
1649,2192
1654,1936
1254,6777
2048,1171
1913,2136
1690,233
547,9348
1767,4392
2156,233
1942,233
2080,2192
2080,3856
2080,5355
2080,3443
2080,5027
2130,233
2291,233
429,2820
1173,3963
2519,2233
2178,6327
2565,4057
1068,7842
2591,1953
2615,3656
1124,5051
2470,233
1892,1317
2687,5616
2713,9188
2713,2136
774,2938
1095,1096
2759,9928
1062,1317
2713,4237
162,3090
2844,2862
2860,233
2747,2560
2747,2647
2747,2304
2747,3387
2737,5076
2737,233
2859,233
1095,5914
1095,1171
2611,6980
2859,7496
2853,1547
1254,7496
2384,150
2709,233
2907,2233
2907,2679
2888,233
2858,8802
1727,4081
848,233
2951,1204
2981,2192
1411,233
2922,8084
2995,4793
2747,6681
2747,8393
759,150
2853,383
28,7496
3082,233
2955,1441
3088,233
2955,7923
2934,8261
3079,3966
2294,1272
3079,4081
3107,7208
3107,8868
3107,9476
952,8195
3049,3600
2768,233
1327,233
1866,233
2809,4392
142,233
3061,1272
3061,3856
2931,2633
3157,2679
2890,2561
1235,4422
3190,4392
1340,2288
1763,233
2361,233
3231,1677
1681,7541
1092,233
3258,1677
918,2834
3269,383
3269,6327
3232,1386
3270,4130
3272,1783
2938,3443
1159,233
3290,2610
3290,2938
3290,2710
3290,2136
3293,3255
283,3561
3277,1272
813,233
469,233
1906,2981
2361,2028
3176,150
3301,1806
1497,383
3372,8659
3354,3788
3363,1096
3383,233
3393,2028
2371,2192
3320,1547
2437,3406
1135,6980
3430,4392
3126,4508
2460,3567
2460,4400
3495,8565
1465,7842
3535,7123
3536,1645
3471,233
109,233
3563,2174
3499,9291
2713,233
2042,233
2995,6299
3597,3255
703,5616
703,7842
3617,2028
3175,7026
3161,5119
